valence,energy,release_date,popularity
0.591,0.591,0.862903,0.61
0.897,0.781,0.919355,0.62
0.197,0.584,0.798387,0.23
0.655,0.939,0.782258,0.49
0.272,0.403,0.830645,0.3
0.561,0.606,0.766129,0.39
0.349,0.871,0.959677,0.37
0.652,0.937,0.66129,0.27
0.4,0.854,0.75,0.3
0.531,0.876,0.895161,0.32
0.81,0.662,0.935484,0.18
0.116,0.128,0.919355,0.23
0.534,0.655,0.959677,0.31
0.289,0.562,0.919355,0.37
0.526,0.663,0.959677,0.36
0.83,0.771,0.870968,0.19
0.391,0.97,0.91129,0.27
0.974,0.763,0.798387,0.43
0.708,0.631,0.887097,0.36
0.389,0.789,0.91129,0.33
0.306,0.526,0.822581,0.27
0.355,0.721,0.927419,0.23
0.755,0.644,0.572581,0.22
0.64,0.865,0.959677,0.51
0.246,0.601,0.879032,0.34
0.43,0.742,0.951613,0.56
0.3,0.936,0.935484,0.25
0.352,0.738,0.782258,0.44
0.131,0.157,0.943548,0.36
0.398,0.671,0.782258,0.23
0.838,0.731,0.822581,0.56
0.871,0.74,0.870968,0.55
0.678,0.495,0.959677,0.59
0.501,0.2,0.951613,0
0.136,0.033,0.612903,0.3
0.677,0.584,0.927419,0.69
0.51,0.908,0.733871,0.51
0.25,0.697,0.879032,0.45
0.267,0.798,0.935484,0.11
0.201,0.941,0.959677,0.28
0.493,0.704,0.967742,0.55
0.227,0.39,0.774194,0.34
0.644,0.662,0.927419,0.22
0.621,0.831,0.927419,0.19
0.453,0.957,0.870968,0.34
0.429,0.759,0.709677,0.57
0.696,0.697,0.862903,0.21
0.19,0.983,0.725806,0.4
0.514,0.872,0.91129,0.24
0.515,0.954,0.967742,0.41
0.41,0.42,0.959677,0.4
0.512,0.76,0.919355,0.63
0.721,0.417,0.879032,0.74
0.266,0.991,0.717742,0.5
0.722,0.695,0.870968,0.18
0.319,0.919,0.766129,0.52
0.131,0.15,0.822581,0.52
0.613,0.653,0.870968,0.42
0.111,0.556,0.943548,0.36
0.108,0.87,0.895161,0.07
0.372,0.925,0.58871,0.29
0.886,0.922,0.822581,0.32
0.415,0.896,0.887097,0.49
0.394,0.471,0.959677,0.24
0.366,0.868,0.935484,0.23
0.229,0.96,0.758065,0.37
0.49,0.682,0.862903,0.19
0.145,0.883,0.91129,0.43
0.851,0.89,0.862903,0.08
0.223,0.726,0.903226,0.31
0.424,0.67,0.822581,0.33
0.102,0.747,0.862903,0.16
0.368,0.931,0.790323,0.44
0.194,0.512,0.927419,0.22
0.964,0.697,0.959677,0.29
0.403,0.776,0.919355,0.46
0.919,0.61,0.741935,0.59
0.16,0.815,0.943548,0.26
0.249,0.22,0.959677,0.41
0.187,0.257,0.951613,0.35
0.043,0.08,0.822581,0.43
0.51,0.814,0.959677,0.27
0.171,0.522,0.91129,0.42
0.929,0.844,0.846774,0.36
0.868,0.667,0.604839,0.27
0.921,0.695,0.58871,0.47
0.618,0.918,0.862903,0.48
0.613,0.778,0.895161,0.59
0.538,0.944,0.887097,0.29
0.381,0.867,0.959677,0.43
0.187,0.616,0.959677,0.27
0.406,0.509,0.919355,0.4
0.703,0.976,0.935484,0.1
0.405,0.671,0.943548,0.21
0.094,0.469,0.870968,0.18
0.275,0.809,0.895161,0.12
0.96,0.626,0.814516,0.44
0.403,0.886,0.887097,0.33
0.399,0.983,0.895161,0.34
0.158,0.536,0.951613,0.26
0.486,0.233,0.629032,0.41
0.073,0.512,0.774194,0.26
0.954,0.904,0.814516,0.48
0.669,0.976,0.725806,0.57
0.278,0.858,0.806452,0.49
0.201,0.33,0.903226,0.39
0.347,0.378,0.870968,0.53
0.04,0.796,0.935484,0.25
0.639,0.814,0.653226,0.29
0.706,0.867,0.967742,0.53
0.187,0.807,0.927419,0.37
0.199,0.54,0.959677,0.5
0.574,0.593,0.790323,0.63
0.074,0.524,0.951613,0.36
0.766,0.917,0.709677,0.45
0.323,0.833,0.822581,0.24
0.397,0.808,0.927419,0.5
0.272,0.963,0.66129,0.37
0.21,0.946,0.862903,0.41
0.138,0.99,0.854839,0.28
0.48,0.789,0.677419,0.41
0.352,0.944,0.879032,0.35
0.24,0.145,0.459677,0.4
0.778,0.599,0.846774,0.25
0.303,0.643,0.854839,0.09
0.324,0.301,0.943548,0.18
0.166,0.389,0.814516,0.3
0.416,0.808,0.895161,0.29
0.689,0.841,0.645161,0.6
0.18,0.893,0.870968,0.3
0.513,0.9,0.887097,0.18
0.676,0.611,0.967742,0.18
0.181,0.725,0.903226,0.45
0.117,0.818,0.854839,0.37
0.86,0.803,0.854839,0.53
0.13,0.255,0.879032,0.35
0.273,0.601,0.895161,0.43
0.066,0.476,0.943548,0.18
0.326,0.066,0.943548,0.55
0.041,0.267,0.830645,0.07
0.351,0.801,0.75,0.19
0.939,0.862,0.91129,0.3
0.904,0.725,0.58871,0.19
0.963,0.723,0.895161,0.06
0.271,0.618,0.782258,0.04
0.407,0.953,0.75,0.44
0.524,0.489,0.604839,0.32
0.719,0.858,0.935484,0.29
0.047,0.841,0.935484,0.57
0.413,0.122,0.653226,0.02
0.108,0.33,0.959677,0.38
0.374,0.969,0.903226,0.55
0.885,0.426,0.637097,0.35
0.134,0.424,0.943548,0.76
0.448,0.618,0.870968,0.44
0.807,0.687,0.927419,0.25
0.39,0.85,0.959677,0.2
0.071,0.757,0.919355,0.51
0.353,0.685,0.967742,0.53
0.694,0.588,0.943548,0.28
0.715,0.755,0.927419,0.21
0.036,0.551,0.935484,0.18
0.633,0.652,0.887097,0.44
0.964,0.783,0.91129,0.17
0.307,0.669,0.951613,0.49
0.405,0.574,0.846774,0.34
0.466,0.72,0.83871,0.7
0.708,0.733,0.919355,0.14
0.595,0.384,0.725806,0.57
0.689,0.753,0.846774,0.27
0.343,0.64,0.903226,0.17
0.275,0.805,0.927419,0.52
0.333,0.227,0.943548,0.34
0.167,0.727,0.967742,0.47
0.087,0.456,0.766129,0.42
0.487,0.945,0.862903,0.54
0.779,0.853,0.798387,0.25
0.037,0.335,0.91129,0.38
0.432,0.934,0.959677,0.26
0.367,0.321,0.790323,0.23
0.599,0.752,0.782258,0.63
0.535,0.625,0.951613,0.57
0.796,0.738,0.903226,0.54
0.869,0.71,0.741935,0.38
0.552,0.724,0.919355,0.14
0.624,0.923,0.943548,0.44
0.128,0.363,0.951613,0.45
0.123,0.036,0.959677,0.39
0.8,0.983,0.774194,0.38
0.157,0.58,0.612903,0.42
0.402,0.294,0.548387,0.22
0.192,0.851,0.854839,0.18
0.189,0.011,0.491935,0.44
0.344,0.379,0.951613,0.4
0.235,0.606,0.927419,0.47
0.709,0.845,0.959677,0.4
0.529,0.486,0.887097,0.03
0.437,0.722,0.951613,0.36
0.448,0.468,0.919355,0.44
0.286,0.639,0.91129,0.09
0.813,0.782,0.967742,0.56
0.864,0.489,0.564516,0.41
0.347,0.784,0.903226,0.3
0.327,0.922,0.830645,0.08
0.521,0.781,0.846774,0.06
0.618,0.735,0.862903,0.53
0.296,0.3,0.919355,0.4
0.491,0.284,0.548387,0.42
0.514,0.631,0.814516,0.17
0.605,0.732,0.758065,0.22
0.474,0.865,0.903226,0.46
0.867,0.792,0.854839,0.32
0.266,0.979,0.741935,0.25
0.914,0.909,0.782258,0.49
0.19,0.377,0.774194,0.32
0.035,0.459,0.959677,0.26
0.435,0.497,0.629032,0.46
0.366,0.575,0.935484,0.14
0.163,0.47,0.782258,0.55
0.295,0.563,0.862903,0.45
0.064,0.067,0.524194,0.33
0.352,0.731,0.870968,0.17
0.727,0.551,0.637097,0.18
0.235,0.93,0.935484,0.39
0.04,0.992,0.782258,0.24
0.72,0.766,0.903226,0.34
0.554,0.808,0.959677,0.36
0.066,0.969,0.951613,0.36
0.202,0.36,0.951613,0.3
0.57,0.675,0.951613,0.37
0.75,0.839,0.870968,0.5
0.923,0.652,0.935484,0.44
0.276,0.996,0.717742,0.4
0.876,0.87,0.903226,0.46
0.801,0.953,0.701613,0.26
0.101,0.597,0.951613,0.28
0.111,0.947,0.967742,0.46
0.643,0.536,0.830645,0.25
0.767,0.798,0.596774,0.37
0.483,0.92,0.862903,0.31
0.901,0.77,0.959677,0.41
0.222,0.98,0.903226,0.48
0.598,0.712,0.91129,0.5
0.933,0.762,0.806452,0.37
0.8,0.911,0.83871,0.25
0.134,0.555,0.935484,0.17
0.038,0.335,0.919355,0.19
0.896,0.905,0.774194,0.39
0.815,0.567,0.959677,0.64
0.791,0.541,0.959677,0.36
0.317,0.762,0.854839,0.32
0.541,0.888,0.927419,0.37
0.645,0.839,0.903226,0.44
0.69,0.636,0.919355,0.48
0.473,0.455,0.919355,0.14
0.508,0.938,0.951613,0.46
0.762,0.977,0.91129,0.49
0.683,0.891,0.83871,0.4
0.275,0.883,0.935484,0.32
0.658,0.892,0.935484,0.34
0.499,0.649,0.943548,0.27
0.666,0.583,0.935484,0.48
0.803,0.524,0.927419,0.34
0.887,0.708,0.83871,0.24
0.962,0.89,0.870968,0.3
0.405,0.678,0.919355,0.54
0.364,0.532,0.951613,0.6
0.205,0.919,0.943548,0.36
0.057,0.111,0.741935,0.4
0.542,0.376,0.766129,0.46
0.361,0.295,0.548387,0.13
0.808,0.582,0.508065,0.32
0.554,0.824,0.806452,0.24
0.769,0.661,0.870968,0.74
0.656,0.68,0.935484,0.73
0.038,0.399,0.741935,0.5
0.493,0.704,0.951613,0.3
0.68,0.443,0.887097,0.14
0.291,0.841,0.870968,0.31
0.811,0.772,0.887097,0.49
0.523,0.373,0.951613,0.74
0.476,0.521,0.959677,0.68
0.278,0.561,0.959677,0.36
0.118,0.696,0.887097,0.23
0.396,0.361,0.862903,0.34
0.35,0.529,0.959677,0.64
0.571,0.664,0.830645,0.53
0.55,0.949,0.854839,0.42
0.142,0.568,0.766129,0.32
0.147,0.998,0.846774,0.25
0.399,0.76,0.951613,0.26
0.548,0.83,0.959677,0.27
0.039,0.972,0.806452,0.31
0.273,0.916,0.903226,0.49
0.409,0.638,0.774194,0.2
0.035,0.992,0.951613,0.28
0.389,0.195,0.596774,0.33
0.669,0.887,0.935484,0.17
0.071,0.647,0.943548,0.08
0.461,0.627,0.66129,0.41
0.54,0.941,0.951613,0.33
0.823,0.305,0.677419,0.5
0.091,0.548,0.959677,0.41
0.372,0.514,0.903226,0.55
0.775,0.958,0.919355,0.26
0.376,0.63,0.951613,0.18
0.057,0.148,0.645161,0.51
0.405,0.428,0.879032,0.39
0.529,0.77,0.919355,0.57
0.234,0.973,0.895161,0.31
0.4,0.651,0.943548,0.45
0.457,0.95,0.854839,0.59
0.164,0.291,0.862903,0.41
0.719,0.574,0.943548,0.41
0.46,0.501,0.814516,0.26
0.655,0.564,0.879032,0.43
0.466,0.663,0.935484,0.48
0.578,0.644,0.814516,0.41
0.837,0.635,0.758065,0.08
0.241,0.925,0.951613,0.25
0.284,0.553,0.967742,0.46
0.809,0.977,0.879032,0.5
0.45,0.207,0.870968,0.19
0.026,1,0.887097,0.19
0.1,0.724,0.927419,0.26
0.198,0.732,0.959677,0.36
0.244,0.641,0.967742,0.34
0.524,0.53,0.895161,0.52
0.752,0.811,0.927419,0.37
0.365,0.738,0.943548,0.42
0.488,0.731,0.572581,0.21
0.755,0.603,0.572581,0.3
0.192,0.766,0.903226,0.22
0.678,0.561,0.959677,0.66
0.678,0.896,0.903226,0.42
0.26,0.126,0.580645,0.36
0.742,0.493,0.846774,0.32
0.456,0.78,0.790323,0.31
0.328,0.963,0.91129,0.34
0.789,0.945,0.854839,0.41
0.763,0.806,0.637097,0.59
0.231,0.344,0.943548,0.49
0.596,0.071,0.790323,0.44
0.961,0.569,0.66129,0.23
0.272,0.1,0.870968,0.41
0.291,0.405,0.870968,0.43
0.676,0.696,0.895161,0.23
0.451,0.711,0.903226,0.69
0.233,0.989,0.927419,0.38
0.197,0.526,0.919355,0.21
0.758,0.778,0.903226,0.45
0.336,0.979,0.887097,0.31
0.31,0.161,0.790323,0.35
0.45,0.543,0.862903,0.28
0.04,0.281,0.903226,0.54
0.317,0.752,0.620968,0.28
0.586,0.964,0.766129,0.21
0.65,0.715,0.725806,0.26
0.147,0.422,0.935484,0.13
0.159,0.738,0.854839,0.4
0.035,0.934,0.822581,0.23
0.075,0.433,0.959677,0.33
0.329,0.916,0.91129,0.18
0.426,0.746,0.951613,0.21
0.68,0.605,0.620968,0.35
0.356,0.688,0.806452,0.07
0.281,0.571,0.862903,0.18
0.648,0.905,0.822581,0.55
0.967,0.8,0.870968,0.64
0.621,0.542,0.725806,0.09
0.735,0.848,0.669355,0.29
0.74,0.712,0.733871,0.13
0.249,0.951,0.596774,0.44
0.345,0.567,0.959677,0.16
0.282,0.996,0.895161,0.26
0.036,0.085,0.951613,0.4
0.192,0.893,0.959677,0.32
0.733,0.919,0.967742,0.33
0.553,0.574,0.959677,0.58
0.532,0.576,0.959677,0.41
0.499,0.883,0.943548,0.17
0.251,0.533,0.758065,0.05
0.516,0.575,0.903226,0.27
0.169,0.246,0.870968,0.26
0.708,0.795,0.879032,0.47
0.349,0.402,0.959677,0.25
0.553,0.487,0.637097,0.49
0.47,0.507,0.790323,0.25
0.444,0.98,0.919355,0.39
0.413,0.629,0.887097,0.29
0.495,0.919,0.967742,0.49
0.707,0.891,0.903226,0.34
0.635,0.948,0.943548,0.45
0.17,0.687,0.927419,0.29
0.788,0.458,0.959677,0.32
0.634,0.816,0.935484,0.52
0.17,0.941,0.951613,0.18
0.246,0.385,0.854839,0.31
0.168,0.363,0.879032,0.29
0.697,0.779,0.943548,0.26
0.718,0.951,0.822581,0.24
0.066,0.001,0.935484,0.37
0.529,0.784,0.862903,0.42
0.162,0.995,0.879032,0.38
0.086,0.884,0.951613,0.5
0.789,0.684,0.959677,0.4
0.668,0.577,0.959677,0.07
0.35,0.959,0.951613,0.37
0.156,0.826,0.854839,0.39
0.17,0.665,0.959677,0.06
0.482,0.779,0.879032,0.4
0.549,0.7,0.870968,0.68
0.575,0.618,0.91129,0.42
0.343,0.877,0.951613,0.48
0.241,0.958,0.919355,0.25
0.691,0.803,0.766129,0.19
0.128,0.706,0.919355,0.13
0.173,0.249,0.83871,0.51
0.205,0.89,0.879032,0.6
0.731,0.891,0.927419,0.22
0.415,0.899,0.91129,0.26
0.598,0.967,0.709677,0.5
0.444,0.309,0.685484,0.36
0.217,0.879,0.846774,0.03
0.212,0.185,0.951613,0.31
0.274,0.06,0.91129,0.24
0.719,0.414,0.596774,0.54
0.382,0.965,0.935484,0.15
0.539,0.69,0.879032,0.17
0.69,0.832,0.685484,0.46
0.181,0.377,0.935484,0.12
0.08,0.563,0.959677,0.18
0.216,0.805,0.967742,0.52
0.944,0.391,0.927419,0.22
0.513,0.656,0.951613,0.41
0.364,0.25,0.919355,0.04
0.639,0.783,0.951613,0.2
0.638,0.936,0.854839,0.47
0.146,0.26,0.959677,0.41
0.405,0.361,0.540323,0.28
0.33,0.382,0.604839,0.48
0.699,0.916,0.830645,0.45
0.359,0.964,0.830645,0.23
0.321,0.779,0.830645,0.29
0.458,0.307,0.91129,0.64
0.062,0.987,0.862903,0.17
0.151,0.438,0.943548,0.33
0.151,0.428,0.895161,0.36
0.593,0.665,0.887097,0.34
0.467,0.888,0.903226,0.25
0.637,0.218,0.943548,0.26
0.635,0.777,0.854839,0.19
0.504,0.6,0.854839,0.6
0.627,0.95,0.854839,0.31
0.396,0.291,0.959677,0.29
0.52,0.928,0.919355,0.15
0.717,0.96,0.766129,0.65
0.612,0.893,0.967742,0.01
0.149,0.945,0.959677,0.17
0.556,0.641,0.943548,0.45
0.564,0.328,0.887097,0.4
0.668,0.635,0.943548,0.52
0.443,0.573,0.846774,0.36
0.027,0.041,0.895161,0.08
0.962,0.71,0.685484,0.37
0.743,0.462,0.967742,0.16
0.206,0.397,0.870968,0.33
0.126,0.888,0.951613,0.41
0.361,0.982,0.733871,0.59
0.88,0.766,0.903226,0.27
0.371,0.739,0.951613,0.4
0.543,0.908,0.927419,0.39
0.447,0.819,0.951613,0.3
0.641,0.88,0.879032,0.42
0.037,0.665,0.959677,0.13
0.684,0.783,0.806452,0.39
0.215,0.61,0.927419,0.23
0.871,0.655,0.854839,0.04
0.478,0.286,0.903226,0.28
0.299,0.136,0.75,0.25
0.099,0.684,0.951613,0.39
0.465,0.98,0.903226,0.34
0.292,0.647,0.862903,0.71
0.811,0.922,0.919355,0.44
0.152,0.996,0.959677,0.31
0.249,0.413,0.733871,0.39
0.519,0.942,0.919355,0.23
0.807,0.867,0.766129,0.62
0.37,0.725,0.830645,0.5
0.338,0.146,0.935484,0.28
0.14,0.977,0.887097,0.29
0.541,0.552,0.919355,0.29
0.144,0.85,0.943548,0.37
0.647,0.97,0.943548,0.45
0.276,0.669,0.951613,0.41
0.334,0.708,0.685484,0.25
0.313,0.82,0.887097,0.4
0.236,0.8,0.83871,0.19
0.767,0.498,0.91129,0.19
0.637,0.835,0.959677,0.41
0.364,0.033,0.758065,0.26
0.088,0.301,0.653226,0.03
0.972,0.229,0.943548,0.42
0.404,0.989,0.887097,0.25
0.86,0.909,0.927419,0.21
0.651,0.913,0.790323,0.43
0.253,0.636,0.959677,0.27
0.593,0.968,0.870968,0.25
0.29,0.749,0.854839,0.7
0.034,0.015,0.951613,0.45
0.489,0.457,0.927419,0.23
0.414,0.608,0.951613,0.17
0.047,0.512,0.870968,0.12
0.328,0.707,0.943548,0.42
0.241,0.612,0.75,0.55
0.395,0.63,0.887097,0.14
0.315,0.53,0.959677,0.43
0.781,0.491,0.709677,0.36
0.383,0.343,0.967742,0.58
0.367,0.962,0.959677,0.42
0.731,0.94,0.854839,0.27
0.562,0.536,0.935484,0.29
0.388,0.644,0.927419,0.37
0.133,0.728,0.951613,0.5
0.89,0.91,0.951613,0.26
0.666,0.9,0.790323,0.44
0.054,0.058,0.685484,0.28
0.243,0.958,0.862903,0.3
0.191,0.377,0.846774,0.25
0.311,0.931,0.927419,0.31
0.256,0.981,0.830645,0.29
0.039,0.465,0.766129,0.26
0.849,0.882,0.596774,0.26
0.459,0.852,0.653226,0.18
0.191,0.263,0.959677,0.4
0.923,0.852,0.677419,0.27
0.298,0.133,0.798387,0.21
0.033,0.212,0.927419,0.39
0.507,0.727,0.870968,0.47
0.717,0.466,0.548387,0.23
0.514,0.935,0.91129,0.26
0.17,0.874,0.741935,0.35
0.595,0.728,0.943548,0.41
0.701,0.779,0.951613,0.65
0.42,0.381,0.862903,0.44
0.183,0.278,0.75,0.2
0.331,0.863,0.758065,0.41
0.409,0.753,0.903226,0.36
0.794,0.745,0.701613,0.42
0.04,0.042,0.766129,0.23
0.297,0.626,0.951613,0.34
0.84,0.614,0.943548,0.52
0.295,0.575,0.967742,0.22
0.292,0.852,0.846774,0.28
0.783,0.903,0.725806,0.41
0.266,0.478,0.959677,0.65
0.222,0.664,0.814516,0.05
0.087,0.797,0.653226,0.37
0.272,0.319,0.959677,0.46
0.077,0.359,0.83871,0.5
0.074,0.339,0.927419,0.27
0.136,0.988,0.967742,0.21
0.326,0.25,0.766129,0.17
0.229,0.108,0.870968,0.39
0.961,0.499,0.870968,0.35
0.724,0.788,0.927419,0.34
0.057,0.997,0.927419,0.39
0.469,0.766,0.959677,0.57
0.55,0.872,0.806452,0.49
0.244,0.288,0.854839,0.24
0.462,0.87,0.959677,0.56
0.604,0.864,0.798387,0.47
0.191,0.888,0.895161,0.19
0.804,0.745,0.83871,0.63
0.514,0.824,0.903226,0.3
0.109,0.021,0.491935,0.41
0.198,0.457,0.879032,0.29
0.374,0.659,0.782258,0.34
0.475,0.889,0.830645,0.22
0.13,0.937,0.75,0.13
0.938,0.421,0.717742,0.24
0.225,0.925,0.879032,0.08
0.674,0.721,0.782258,0.47
0.339,0.677,0.959677,0.17
0.286,0.815,0.596774,0.47
0.196,0.917,0.943548,0.38
0.671,0.755,0.959677,0.38
0.781,0.835,0.959677,0.57
0.075,0.168,0.806452,0.18
0.925,0.654,0.766129,0.58
0.217,0.932,0.959677,0.28
0.646,0.968,0.935484,0.55
0.623,0.903,0.935484,0.23
0.551,0.531,0.741935,0.54
0.126,0.956,0.91129,0.26
0.46,0.631,0.967742,0.53
0.239,0.47,0.943548,0.32
0.591,0.896,0.951613,0.53
0.925,0.93,0.790323,0.58
0.961,0.613,0.862903,0.61
0.478,0.865,0.774194,0.69
0.137,0.316,0.774194,0.18
0.908,0.885,0.959677,0.16
0.149,0.802,0.806452,0.26
0.767,0.798,0.596774,0.37
0.269,0.916,0.709677,0.23
0.168,0.818,0.927419,0.27
0.349,0.373,0.935484,0.15
0.108,0.58,0.951613,0.44
0.879,0.673,0.701613,0.42
0.245,0.344,0.879032,0.31
0.712,0.739,0.967742,0.72
0.184,0.982,0.951613,0.34
0.389,0.777,0.951613,0.24
0.287,0.84,0.959677,0.7
0.881,0.762,0.758065,0.55
0.192,0.149,0.814516,0.25
0.296,0.961,0.951613,0.43
0.966,0.775,0.862903,0.6
0.359,0.836,0.717742,0.24
0.126,0.478,0.862903,0.13
0.86,0.776,0.903226,0.25
0.452,0.554,0.879032,0.25
0.854,0.95,0.669355,0.43
0.532,0.783,0.782258,0.3
0.412,0.723,0.854839,0.33
0.322,0.699,0.854839,0.33
0.629,0.635,0.919355,0.31
0.452,0.26,0.919355,0.11
0.32,0.878,0.887097,0.33
